199|Lotus|2589|1973
200|Lucid|3079|2016
201|Luxgen|3311|1989
202|Mack|2956|1990
203|Mahindra|4056|1990
204|MAN|2893|1987
205|Mansory|1347|1996
206|Marcos|1488|1990
207|Marlin|1673|1987
208|Maserati|3490|2000
209|Mastretta|1781|2006
210|Maxus|2253|2008
211|Maybach|4107|2013
212|MAZ|1165|1973
213|Mazda|1176|1977
214|Mazzanti|4149|1986
215|M BMW|2989|1970
216|McLaren|2295|2008
217|Melkus|3632|2015
218|Mercedes-Benz|4254|1972
219|Mercury|4313|1982
220|Merkur|1824|1989
221|MEV|2410|1986
222|MG|2449|1998
223|Microcar|3349|1991
224|Mini|2263|2004
225|Mitsubishi|2511|2007
226|Mitsuoka|2278|2007
227|MK|2808|1971
228|Morgan|1044|2015
229|Morris|1081|2002
230|Mosler|3242|2009
231|Mustang|3405|2013
232|Navistar|1443|2011
233|Nissan|3935|2016
234|Nismo|2845|2016
235|Noble|3807|2013
236|Oldsmobile|2848|2012
237|Oltcit|1725|2014
238|Opel|3009|1999
239|OSCA|3593|1984
240|Paccar|1932|2008
241|Pagani|2598|2002
242|Panhard|4300|1976
243|Pegaso|3327|1994
244|Perodua|1984|2003
245|Peterbilt|4038|1986
246|Peugeot|2332|1992
247|PGO|4387|1995
248|Pierce-Arrow|2378|1983
249|Pininfarina|2621|1998
250|Plymouth|1173|2001
251|Polestar|3090|1978
252|Pontiac|1646|1974
253|Porsche|1648|2014
254|Praga|3558|2010
255|Premier|1970|2008
256|Prodrive|3592|1971
257|Proton|3616|2003
258|Qoros|1679|1978
259|Radical|3882|1982
260|Rambler|3252|1986
261|RAM|2852|1992
262|Ranz|1571|1997
263|Renault|4011|2000
264|Renault Samsung|1042|1970
265|Rezvani|1191|2013
266|Riley|2766|1996
267|Rimac|2309|1987
268|Rinspeed|2396|1974
269|Roewe|1550|1970
270|Rolls-Royce|4246|2010
271|Ronart|2006|1987
272|Rossion|3253|2007
273|Rover|2429|1973
274|RUF|1823|1992
275|Saab|1656|1996
276|SAIC|2587|1991
277|Saipa|2882|1994
278|Saleen|3585|1984
279|Saturn|1029|1983
280|Scion|1844|2004
281|SEAT|1177|2009
282|Setra|1942|1982
283|Shelby|2781|2002
284|Simca|1314|2015
285|Singer|2777|1977
286|Sisu Auto|3133|1979
287|Škoda|3939|2010
288|Smart|1022|2014
289|Soueast|2798|2005
290|Spirra|1023|2008
291|Spyker|3603|1970
292|SRT|3208|1993
293|SsangYong|1268|2000
294|SSC|3555|1977
295|Sterling|2737|2001
296|Studebaker|4023|2018
297|Subaru|2886|2003
298|Suffolk|1451|1998
299|Suzuki|3163|1972
300|Talbot|1745|2018
301|Tata|2134|1999
302|Tatra|2400|1996
303|Tauro Sport Auto|3826|1985
304|TechArt|4303|2002
305|Tesla|3498|2006
306|Toyota|3069|1981
307|Toyota Crown|4445|2003
308|Tramontana|2764|1980
309|Trion|1479|1981
310|Triumph|1217|1982
311|Troller|1169|2008
312|TVR|2527|1980
313|UAZ|1872|1998
314|UD|3781|1991
315|Ultima|1152|1976
316|Vandenbrink|4052|2001
317|Vauxhall|1065|1982
318|Vencer|3578|1976
319|Vector Motors|1717|1975
320|Venturi|1106|2008
321|Venucia|3629|1999
322|Viper|1129|1981
323|Volkswagen|3608|1987
324|Volvo|4280|1994
325|Wanderer|1923|2018
326|Wartburg|2455|1987
327|Western Star|2737|1989
328|Westfield|4022|1981
329|Wiesmann|1981|1975
330|Willys|3800|1983
331|W Motors|2840|1971
332|Wuling|2851|1973
333|Yulon|3563|2007
334|Zastava|3462|1974
335|ZAZ|2818|1990
336|Zenos|1321|2001
337|Zenvo|1639|2000
338|Zotye|1135|1970
